EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,1021,396,625,24,4,20,33,12,21,454,204,250
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,323,171,152,1,1,,11,2,9,161,84,77
Bank of Montreal,2016,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,12,5,7,,,,,,,5,2,3
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,45,24,21,1,1,,,,,9,5,4
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,15,8,7,1,1,,,,,10,7,3
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,134,36,98,10,1,9,,,,38,14,24
Bank of Montreal,2010,Provincial,Nova Scotia,,,Overall,Part-Time,34,5,29,1,1,,1,1,,4,2,2
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,121,54,67,3,1,2,2,1,1,32,12,20
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,24,13,11,2,,2,,,,11,6,5
Bank of Montreal,2011,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,6,6,,,,,,,,,,
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,1,1,,,,,,,,,,
