EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,6,4,2,,,,,,,,,
Bank of Montreal,2012,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,7,2,5,,,,,,,,,
Bank of Montreal,2015,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,11,4,7,,,,2,1,1,,,
Bank of Montreal,2015,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,3,1,2,,,,,,,,,
Bank of Montreal,2016,Provincial,Nova Scotia,,,Overall,Full-Time,37,20,17,2,1,1,5,3,2,2,2,
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,9,1,8,,,,,,,3,1,2
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,15,3,12,,,,,,,5,3,2
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Part-Time,6,4,2,,,,,,,4,2,2
Bank of Montreal,2017,Provincial,Alberta,,,Overall,Full-Time,241,92,149,4,1,3,12,5,7,78,38,40
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,15,12,3,,,,2,1,1,3,2,1
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,654,223,431,13,3,10,16,7,9,219,90,129
Bank of Montreal,2011,Provincial,Manitoba,,,Overall,Full-Time,40,16,24,5,,5,2,,2,3,1,2
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,20,3,17,,,,1,,1,6,1,5
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,468,244,224,2,,2,26,9,17,175,99,76
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,122,57,65,2,,2,9,4,5,68,33,35
Bank of Montreal,2013,Provincial,New Brunswick,,,Overall,Part-Time,20,1,19,3,,3,3,,3,1,,1
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,30,6,24,,,,3,1,2,8,2,6
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,82,38,44,1,1,,1,,1,23,9,14
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,65,6,59,1,,1,1,,1,13,1,12
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2017,Provincial,Manitoba,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,13,3,10,2,,2,1,,1,4,,4
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Part-Time,4,1,3,,,,1,1,,2,,2
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,315,106,209,9,2,7,8,3,5,116,56,60
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,330,122,208,4,1,3,20,6,14,123,52,71
Bank of Montreal,2014,Provincial,Ontario,,,Overall,Part-Time,344,101,243,2,2,,17,7,10,69,23,46
Bank of Montreal,2017,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,4,1,3,2,,2,,,,1,,1
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,3,1,2,,,,,,,2,,2
Bank of Montreal,2012,Provincial,Nova Scotia,,,Overall,Full-Time,38,17,21,1,,1,3,1,2,2,1,1
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,10,3,7,1,,1,2,,2,,,
Bank of Montreal,2012,Provincial,New Brunswick,,,Overall,Part-Time,10,1,9,,,,1,,1,,,
Bank of Montreal,2012,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,89,26,63,,,,1,,1,39,15,24
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,46,30,16,1,1,,1,1,,13,10,3
Bank of Montreal,2016,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,165,36,129,6,,6,5,1,4,45,16,29
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,3,1,2,,,,,,,1,,1
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,3,1,2,,,,,,,,,
Bank of Montreal,2015,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,5,4,1,,,,,,,1,1,
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
