EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,QUARTERID,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,SALARYRANGEBOTTOM($),SALARYRANGETOP($)
Bank of Montreal,2015,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Professionals,2,,,,,,,,,,,,,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,1,120,10,110,1,,1,9,1,8,28,3,25,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,4,2,2,1,,1,,,,,,,"$  5,000 - $ 9,999","$ 30,000 - $34,999"
Bank of Montreal,2017,Part-Time,CMA,Halifax,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,1,,1,,,,,,,,,,"$ 10,000 - $14,999","$ 30,000 - $34,999"
Bank of Montreal,2011,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,,200,35,165,13,1,12,4,1,3,4,,4,,
Bank of Montreal,2011,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Senior Managers,1,1,,1,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2011,Part-Time,CMA,Vancouver,,,Overall,,241,44,197,8,,8,10,1,9,136,25,111,,
Bank of Montreal,2011,Part-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,3,,3,,,,,,,,,,"$  5,000 - $ 9,999","$ 50,000 - $54,999"
Bank of Montreal,2018,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,2,47,30,17,,,,,,,19,12,7,"Under $5,000","$100,000 and over"
Bank of Montreal,2018,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,3,1,,1,,,,,,,,,,"$ 45,000 - $49,999","$ 75,000 - $79,999"
Bank of Montreal,2018,Part-Time,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,4,2,2,,,,,,,2,1,1,"Under $5,000","$ 55,000 - $59,999"
Bank of Montreal,2014,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,2,16,5,11,,,,,,,10,3,7,"Under $5,000","$100,000 and over"
Bank of Montreal,2014,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Supervisors,4,6,2,4,,,,,,,5,2,3,"$ 20,000 - $24,999","$100,000 and over"
Bank of Montreal,2014,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Senior Managers,4,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2014,Part-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,3,23,2,21,,,,,,,2,,2,"$  5,000 - $ 9,999","$ 30,000 - $34,999"
Bank of Montreal,2014,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,4,,4,,,,,,,,,,"$  5,000 - $ 9,999","$ 50,000 - $54,999"
Bank of Montreal,2014,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,35,2,33,,,,2,,2,13,,13,"$  5,000 - $ 9,999","$ 50,000 - $54,999"
Bank of Montreal,2014,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Middle and Other Managers,4,3,1,2,,,,,,,1,,1,"$ 40,000 - $44,999","$ 55,000 - $59,999"
Bank of Montreal,2016,Full-Time,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,1,1,,,,,,,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2016,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,4,4,1,3,,,,,,,3,1,2,"Under $5,000","$100,000 and over"
Bank of Montreal,2016,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,3,1,,1,,,,,,,,,,"Under $5,000","$ 35,000 - $39,999"
Bank of Montreal,2016,Part-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,,,,,,,,,,,,,"$  5,000 - $ 9,999","$ 30,000 - $34,999"
