EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,QUARTERID,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,SALARYRANGEBOTTOM($),SALARYRANGETOP($)
Bank of Montreal,2018,Part-Time,National,Canada,5221,Depository Credit Intermediation,Supervisors,2,1,,1,,,,,,,,,,"$ 15,000 - $19,999","$ 50,000 - $54,999"
Bank of Montreal,2018,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Professionals,3,2,,2,,,,,,,,,,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2016,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,4,,,,,,,,,,,,,"$ 25,000 - $29,999","$ 25,000 - $29,999"
Bank of Montreal,2016,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,3,,,,,,,,,,,,,"$ 50,000 - $54,999","$ 50,000 - $54,999"
Bank of Montreal,2016,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Middle and Other Managers,2,1,,1,,,,,,,,,,"$ 25,000 - $29,999","$ 65,000 - $69,999"
Bank of Montreal,2016,Part-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Professionals,2,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Middle and Other Managers,4,1,1,,,,,,,,,,,"$ 50,000 - $54,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Regina,5221,Depository Credit Intermediation,Professionals,3,3,3,,,,,,,,1,1,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,2,8,8,,,,,,,,,,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,2,1,1,,,,,,,,,,"$ 30,000 - $34,999","$ 95,000 - $99,999"
Bank of Montreal,2011,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Professionals,4,1,1,,,,,1,1,,,,,"$ 35,000 - $39,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Middle and Other Managers,4,1,1,,,,,,,,,,,"$ 55,000 - $59,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,1,12,2,10,2,,2,1,,1,9,2,7,"$ 40,000 - $44,999","$ 95,000 - $99,999"
Bank of Montreal,2018,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,1,4397,2307,2090,26,12,14,181,69,112,1954,1075,879,"Under $5,000","$100,000 and over"
Bank of Montreal,2018,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,3,57,10,47,2,1,1,2,1,1,17,5,12,"Under $5,000","$ 50,000 - $54,999"
Bank of Montreal,2018,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,2,,,,,,,,,,,,,"$ 15,000 - $19,999","$ 40,000 - $44,999"
Bank of Montreal,2012,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,4,1,,1,,,,,,,,,,"$ 55,000 - $59,999","$ 65,000 - $69,999"
Bank of Montreal,2012,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,2,,,,,,,,,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2012,Part-Time,Provincial,New Brunswick,,,Overall,,50,8,42,2,,2,3,,3,5,2,3,,
Bank of Montreal,2012,Part-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Professionals,1,1,,1,,,,,,,,,,"$ 55,000 - $59,999","$ 90,000 - $94,999"
Bank of Montreal,2012,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,53,15,38,,,,1,,1,14,6,8,"$ 10,000 - $14,999","$ 50,000 - $54,999"
Bank of Montreal,2012,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Clerical Personnel,1,63,17,46,1,,1,1,,1,38,7,31,"$  5,000 - $ 9,999","$ 40,000 - $44,999"
Bank of Montreal,2017,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,4,7,3,4,,,,1,,1,4,2,2,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Clerical Personnel,3,,,,,,,,,,,,,"$ 40,000 - $44,999","$ 40,000 - $44,999"
Bank of Montreal,2017,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Professionals,4,1,1,,,,,,,,1,1,,"Under $5,000","$100,000 and over"
Bank of Montreal,2017,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Clerical Personnel,3,,,,,,,,,,,,,"$ 40,000 - $44,999","$ 90,000 - $94,999"
Bank of Montreal,2017,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,4,2,1,1,,,,,,,,,,"$ 10,000 - $14,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,CMA,Halifax,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,1,,1,,,,,,,,,,"$ 10,000 - $14,999","$ 30,000 - $34,999"
Bank of Montreal,2017,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Clerical Personnel,1,3,2,1,,,,1,1,,2,2,,"$ 10,000 - $14,999","$ 50,000 - $54,999"
Bank of Montreal,2013,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,3,,,,,,,,,,,,,"$ 35,000 - $39,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,4,2,2,,,,,1,1,,,,,"$ 50,000 - $54,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Other Sales and Service Personnel,3,4,4,,,,,,,,,,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2014,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,2,1,1,,,,,,,1,,1,"Under $5,000","$100,000 and over"
Bank of Montreal,2014,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,284,51,233,5,2,3,7,1,6,81,18,63,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2014,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,1,8,1,7,,,,,,,3,,3,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2014,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,3,,,,,,,,,,,,,"$ 60,000 - $64,999","$ 60,000 - $64,999"
Bank of Montreal,2014,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Senior Managers,3,3,3,,,,,,,,,,,"$ 95,000 - $99,999","$100,000 and over"
Bank of Montreal,2014,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,2,,,,,,,,,,,,,"$ 55,000 - $59,999","$ 55,000 - $59,999"
Bank of Montreal,2014,Part-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,1,,1,,,,,,,1,,1,"$  5,000 - $ 9,999","$ 35,000 - $39,999"
Bank of Montreal,2015,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,4,4,1,3,,,,,,,,,,"$ 25,000 - $29,999","$ 75,000 - $79,999"
Bank of Montreal,2015,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,4,1,,1,,,,,,,,,,"$ 30,000 - $34,999","$ 35,000 - $39,999"
Bank of Montreal,2019,Part-Time,Provincial,Qu�bec,,,Overall,,718,239,479,8,2,6,20,2,18,233,89,144,,
Bank of Montreal,2019,Part-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,24,3,21,1,1,,1,,1,4,,4,"$  5,000 - $ 9,999","$ 35,000 - $39,999"
Bank of Montreal,2016,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Senior Managers,3,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2016,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,4,4,2,2,,,,,,,,,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2016,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,4,1,,1,,,,,,,,,,"$ 50,000 - $54,999","$100,000 and over"
Bank of Montreal,2016,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Clerical Personnel,4,1,,1,,,,,,,,,,"$ 15,000 - $19,999","$ 15,000 - $19,999"
Bank of Montreal,2010,Part-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,2,2,,2,,,,,,,,,,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2010,Part-Time,National,Canada,5221,Depository Credit Intermediation,Supervisors,1,1,,1,,,,,,,1,,1,"$ 30,000 - $34,999","$ 50,000 - $54,999"
Bank of Montreal,2019,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,2,19,12,7,,,,,,,8,3,5,"Under $5,000","$100,000 and over"
Bank of Montreal,2019,Full-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,2,34,21,13,4,2,2,1,,1,4,2,2,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2019,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,2,,,,,,,,,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2019,Part-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,1,1,1,,,,,,,,1,1,,"$ 35,000 - $39,999","$ 60,000 - $64,999"
Bank of Montreal,2017,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,1,709,354,355,3,1,2,26,11,15,130,66,64,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,1,23,13,10,,,,,,,,,,"$ 45,000 - $49,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,4,1,,1,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2017,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,3,,,,,,,,,,,,,"$ 70,000 - $74,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Supervisors,4,1,,1,,,,,,,,,,"$ 15,000 - $19,999","$ 55,000 - $59,999"
Bank of Montreal,2013,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,2,1,1,,,,,,,2,1,1,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2013,Part-Time,CMA,Regina,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,1,1,,,,,,,,,,,"$ 15,000 - $19,999","$ 15,000 - $19,999"
Bank of Montreal,2015,Full-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,4,5,,5,,,,,,,1,,1,"Under $5,000","$ 80,000 - $84,999"
Bank of Montreal,2015,Full-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,297,62,235,11,,11,16,4,12,123,32,91,"Under $5,000","$ 90,000 - $94,999"
Bank of Montreal,2015,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,1,2,1,1,,,,,,,,,,"$ 60,000 - $64,999","$ 70,000 - $74,999"
Bank of Montreal,2015,Part-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,4,1,1,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2011,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,4,3,1,,,,,,,1,1,,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,1,45,16,29,1,,1,3,2,1,5,2,3,"$ 35,000 - $39,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Senior Managers,1,1,1,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,,,,,,,,,,,,,"$ 60,000 - $64,999","$ 95,000 - $99,999"
Bank of Montreal,2011,Full-Time,CMA,Regina,5221,Depository Credit Intermediation,Professionals,2,5,3,2,,,,,,,1,1,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,2,,,,,,,,,,,,,"$ 65,000 - $69,999","$ 65,000 - $69,999"
Bank of Montreal,2011,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Professionals,4,2,2,,,,,,,,,,,"$ 35,000 - $39,999","$100,000 and over"
Bank of Montreal,2011,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Clerical Personnel,4,2,,2,,,,,,,,,,"Under $5,000","$ 45,000 - $49,999"
Bank of Montreal,2014,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,1,,1,,,,,,,,,,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2014,Part-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,2,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2012,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,4,8,4,4,,,,,,,4,3,1,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,,,,,,,,,,,,,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,2,1,1,,,,,,,,,,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Supervisors,4,1,,1,,,,,,,,,,"$ 40,000 - $44,999","$ 85,000 - $89,999"
Bank of Montreal,2012,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Supervisors,3,56,18,38,1,,1,3,1,2,26,13,13,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2012,Part-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,1,,1,,,,,,,,,,"$  5,000 - $ 9,999","$ 25,000 - $29,999"
Bank of Montreal,2018,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,8,1,7,,,,,,,3,1,2,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2018,Part-Time,CMA,Halifax,,,Overall,,29,8,21,1,,1,1,,1,10,2,8,,
Bank of Montreal,2018,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,2,1,,1,,,,,,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2016,Full-Time,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,4,37,20,17,2,,2,2,1,1,19,14,5,"Under $5,000","$ 75,000 - $79,999"
Bank of Montreal,2016,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,2,2,,,,,,,,1,1,,"Under $5,000","$ 70,000 - $74,999"
Bank of Montreal,2016,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,2,,,,,,,,,,,,,"$ 65,000 - $69,999","$ 65,000 - $69,999"
Bank of Montreal,2016,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,3,2,1,1,,,,,,,,,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2016,Part-Time,National,Canada,5221,Depository Credit Intermediation,Professionals,4,2,,2,,,,,,,,,,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2016,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,2,6,,6,,,,1,,1,1,,1,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,4,,,,,,,,,,,,,"$ 75,000 - $79,999","$ 75,000 - $79,999"
Bank of Montreal,2013,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Supervisors,3,,,,,,,,,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2013,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Middle and Other Managers,4,1,1,,,,,,,,,,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2013,Part-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,3,5,1,4,,,,,,,1,,1,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,National,Canada,5221,Depository Credit Intermediation,Professionals,1,8668,4478,4190,87,41,46,198,110,88,3487,1977,1510,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,2,20,6,14,,,,2,,2,8,2,6,"$ 45,000 - $49,999","$ 85,000 - $89,999"
Bank of Montreal,2012,Full-Time,CMA,Calgary,,,Overall,,639,235,404,9,3,6,21,7,14,218,92,126,,
Bank of Montreal,2012,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,2,,2,,,,,,,1,,1,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,2384,715,1669,39,10,29,86,37,49,1287,429,858,"$ 20,000 - $24,999","$100,000 and over"
Bank of Montreal,2012,Part-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,3,,3,,,,,,,,,,"$  5,000 - $ 9,999","$ 25,000 - $29,999"
Bank of Montreal,2012,Part-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Middle and Other Managers,1,1,,1,,,,,,,1,,1,"$  5,000 - $ 9,999","$ 55,000 - $59,999"
Bank of Montreal,2015,Full-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,4,1,1,,,,,,,,,,,"$ 50,000 - $54,999","$100,000 and over"
Bank of Montreal,2015,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Supervisors,4,3,,3,,,,,,,,,,"$ 35,000 - $39,999","$ 85,000 - $89,999"
Bank of Montreal,2015,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,,169,35,134,16,1,15,8,2,6,5,2,3,,
Bank of Montreal,2015,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,1,59,7,52,4,,4,2,,2,3,1,2,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2015,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Senior Managers,1,132,74,58,1,1,,8,3,5,18,12,6,"$ 75,000 - $79,999","$100,000 and over"
Bank of Montreal,2015,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,14,,14,1,,1,,,,4,,4,"$  5,000 - $ 9,999","$ 45,000 - $49,999"
Bank of Montreal,2015,Part-Time,CMA,Halifax,5221,Depository Credit Intermediation,Middle and Other Managers,4,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2014,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,26,3,23,1,,1,1,,1,1,,1,"$ 25,000 - $29,999","$ 75,000 - $79,999"
Bank of Montreal,2014,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,3,1,2,,,,,,,,,,"$  5,000 - $ 9,999","$ 40,000 - $44,999"
Bank of Montreal,2014,Full-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,2,1,1,,,,,,,,,,"$  5,000 - $ 9,999","$ 50,000 - $54,999"
Bank of Montreal,2014,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Middle and Other Managers,3,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 60,000 - $64,999"
Bank of Montreal,2019,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Senior Managers,2,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2019,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,2,6,2,4,,,,,,,1,1,,"$ 55,000 - $59,999","$100,000 and over"
Bank of Montreal,2019,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,24,10,14,1,1,,1,,1,14,6,8,"Under $5,000","$100,000 and over"
Bank of Montreal,2019,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,4,2,2,,,,,1,1,,,,,"Under $5,000","$ 90,000 - $94,999"
Bank of Montreal,2010,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,1,1,1,,,,,1,1,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2010,Full-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,3,3,,,,,,,,3,3,,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,327,67,260,3,,3,4,2,2,181,51,130,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Clerical Personnel,1,37,7,30,3,1,2,,,,13,2,11,"$ 25,000 - $29,999","$ 50,000 - $54,999"
Bank of Montreal,2010,Part-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,4,2,,2,,,,,,,,,,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2010,Part-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,3,1,2,,,,,,,1,1,,"$  5,000 - $ 9,999","$ 50,000 - $54,999"
Bank of Montreal,2018,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,15,,15,,,,,,,5,,5,"$ 30,000 - $34,999","$ 60,000 - $64,999"
Bank of Montreal,2016,Full-Time,National,Canada,5221,Depository Credit Intermediation,Senior Managers,2,9,5,4,,,,,,,,,,"$ 80,000 - $84,999","$100,000 and over"
Bank of Montreal,2016,Full-Time,National,Canada,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,1,1,1,,,,,,,,,,,"$ 55,000 - $59,999","$ 55,000 - $59,999"
Bank of Montreal,2016,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,4,,,,,,,,,,,,,"$ 85,000 - $89,999","$ 85,000 - $89,999"
Bank of Montreal,2016,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,3,,,,,,,,,,,,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,National,Canada,5221,Depository Credit Intermediation,Professionals,2,156,96,60,,,,2,2,,41,24,17,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,2,6,5,1,,,,1,1,,,,,"$ 55,000 - $59,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Supervisors,1,19,5,14,,,,,,,7,1,6,"$ 40,000 - $44,999","$ 95,000 - $99,999"
Bank of Montreal,2010,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,3,,,,,,,,,,,,,"$ 40,000 - $44,999","$ 40,000 - $44,999"
Bank of Montreal,2019,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,4,1,1,,,,,,,,1,1,,"$ 50,000 - $54,999","$ 60,000 - $64,999"
Bank of Montreal,2017,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,2,16,14,2,,,,,,,3,3,,"Under $5,000","$100,000 and over"
Bank of Montreal,2017,Part-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,4,1,,1,,,,,,,,,,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,4,2,1,1,,,,,,,1,1,,"$ 10,000 - $14,999","$ 50,000 - $54,999"
Bank of Montreal,2017,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,3,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2017,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,3,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2013,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,3,2,2,,,,,,,,1,1,,"$ 60,000 - $64,999","$ 95,000 - $99,999"
Bank of Montreal,2013,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,3,,,,,,,,,,,,,"$ 55,000 - $59,999","$ 55,000 - $59,999"
Bank of Montreal,2013,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Supervisors,2,,,,,,,,,,,,,"$ 65,000 - $69,999","$ 70,000 - $74,999"
Bank of Montreal,2013,Part-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,1,25,4,21,1,,1,,,,2,2,,"$  5,000 - $ 9,999","$ 40,000 - $44,999"
Bank of Montreal,2012,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,2,22,8,14,,,,2,,2,7,1,6,"$ 45,000 - $49,999","$ 95,000 - $99,999"
Bank of Montreal,2012,Full-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,1,806,336,470,21,8,13,25,11,14,327,151,176,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,Provincial,Saskatchewan,,,Overall,,290,84,206,10,3,7,7,,7,34,14,20,,
Bank of Montreal,2012,Part-Time,CMA,Regina,,,Overall,,17,3,14,,,,,,,3,1,2,,
