EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,44,8,36,2,,2,1,1,,24,4,20
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,10,2,8,1,,1,,,,2,,2
Bank of Montreal,2014,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Full-Time,51,22,29,,,,2,,2,3,3,,46,21,25,,,,2,,2,3,3,
Bank of Montreal,2016,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,27,15,12,1,1,,3,3,,10,5,5
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,5,,5,,,,,,,3,,3
Bank of Montreal,2013,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,12,4,8,1,,1,,,,,,
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,,,
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Overall,Full-Time,825,406,419,2,1,1,20,7,13,237,130,107,707,340,367,2,1,1,19,7,12,203,108,95
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,5,1,4,,,,,,,2,1,1
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,28,10,18,,,,,,,4,1,3
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,936,436,500,13,5,8,24,11,13,392,194,198
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2012,Provincial,New Brunswick,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,1,,1
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,170,38,132,,,,8,2,6,49,12,37,166,37,129,,,,8,2,6,49,12,37
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,5,2,3,1,1,,1,1,,2,,2
Bank of Montreal,2019,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,6,2,4,1,,1,,,,2,,2
