EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,316,164,152,2,1,1,6,6,,136,73,63
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,20,7,13,1,,1,2,2,,7,5,2
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,11,2,9,,,,1,,1,7,2,5
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,3,2,1,,,,,,,1,1,
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,46,18,28,,,,2,,2,16,10,6
Bank of Montreal,2018,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,22,7,15,4,1,3,,,,5,2,3
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Overall,Full-Time,536,197,339,12,2,10,8,4,4,248,105,143,470,176,294,10,2,8,6,4,2,220,97,123
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,56,8,48,1,,1,1,,1,14,3,11
Bank of Montreal,2012,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,17,4,13,,,,,,,2,1,1
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,148,45,103,2,,2,1,,1,36,15,21
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Full-Time,51,9,42,1,,1,2,1,1,1,,1,46,8,38,1,,1,2,1,1,1,,1
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,37,14,23,,,,2,,2,14,4,10
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2011,Provincial,British Columbia,5221,Depository Credit Intermediation,Overall,Full-Time,606,216,390,6,4,2,7,3,4,284,122,162,522,182,340,6,4,2,6,2,4,246,101,145
Bank of Montreal,2013,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,13,1,12,,,,,,,1,,1
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Full-Time,64,20,44,4,,4,3,,3,9,2,7,54,17,37,3,,3,3,,3,7,2,5
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,27,7,20,,,,,,,8,1,7
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,62,13,49,,,,5,1,4,16,3,13
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,,1,1,,1,,,,,,
Bank of Montreal,2011,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,22,3,19,,,,,,,6,2,4
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,18,11,7,,,,,,,7,6,1
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,4387,1853,2534,60,24,36,101,47,54,1795,846,949,3954,1670,2284,55,21,34,94,44,50,1631,764,867
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,14,3,11,,,,1,,1,4,2,2
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,158,74,84,2,,2,1,,1,23,12,11
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Full-Time,2309,1062,1247,20,4,16,79,33,46,1061,534,527,2177,1002,1175,18,4,14,72,29,43,1001,502,499
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Overall,Full-Time,757,358,399,10,1,9,22,8,14,218,110,108,673,307,366,9,1,8,22,8,14,185,89,96
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,27,10,17,1,,1,1,,1,10,2,8
Bank of Montreal,2017,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,38,19,19,2,1,1,,,,21,11,10
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,62,15,47,,,,2,1,1,25,6,19
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,55,16,39,2,,2,1,1,,13,4,9
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,338,97,241,5,2,3,14,7,7,173,52,121
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,104,57,47,1,,1,,,,15,8,7
Bank of Montreal,2010,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,4,1,3,,,,,,,,,
Bank of Montreal,2016,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,11,4,7,,,,,,,1,1,
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,86,44,42,,,,2,,2,21,10,11
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,208,37,171,3,,3,3,,3,72,21,51
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,56,31,25,2,1,1,2,2,,34,20,14
Bank of Montreal,2013,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Part-Time,5,1,4,,,,,,,1,,1,5,1,4,,,,,,,1,,1
Bank of Montreal,2016,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,25,9,16,,,,3,,3,3,2,1
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,1,1,
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,45,5,40,,,,1,,1,13,2,11
Bank of Montreal,2011,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,6,3,3,,,,1,,1,2,1,1
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,187,32,155,6,,6,7,,7,63,13,50
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,30,7,23,1,,1,,,,12,3,9
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,8,1,7,,,,,,,4,,4
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,48,18,30,1,,1,3,1,2,23,11,12
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Full-Time,2222,998,1224,25,4,21,74,35,39,903,450,453,2087,939,1148,23,4,19,71,34,37,863,431,432
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,720,230,490,16,2,14,14,7,7,280,108,172
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Full-Time,21,4,17,3,,3,,,,3,2,1,20,3,17,3,,3,,,,2,1,1
Bank of Montreal,2010,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Part-Time,3,,3,,,,,,,,,,3,,3,,,,,,,,,
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,95,53,42,,,,1,,1,20,15,5
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,3847,1683,2164,46,11,35,130,48,82,1392,676,716,3560,1554,2006,43,11,32,123,46,77,1308,637,671
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,136,45,91,2,,2,4,3,1,41,14,27
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,99,15,84,2,,2,1,,1,31,6,25
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,18,11,7,,,,,,,7,6,1
Bank of Montreal,2017,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,6,5,1,1,1,,1,,1,1,1,
Bank of Montreal,2010,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,7,2,5,,,,,,,,,
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,6,1,5,,,,,,,1,1,
Bank of Montreal,2011,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,101,41,60,,,,1,1,,50,23,27
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,5,,5,,,,1,,1,2,,2
Bank of Montreal,2015,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,8,3,5,,,,,,,5,2,3
Bank of Montreal,2018,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,36,1,35,,,,4,,4,7,1,6
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,15,5,10,,,,1,1,,4,2,2
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,131,57,74,7,2,5,5,5,,61,28,33
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,110,59,51,,,,4,2,2,18,10,8
Bank of Montreal,2010,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,47,13,34,,,,1,1,,12,3,9
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,55,20,35,2,,2,1,1,,25,11,14
Bank of Montreal,2019,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Part-Time,1,1,,,,,,,,1,1,,1,1,,,,,,,,1,1,
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,6630,2707,3923,87,33,54,114,52,62,2652,1230,1422,5892,2400,3492,82,30,52,109,49,60,2372,1097,1275
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,740,242,498,9,2,7,16,6,10,337,126,211
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,40,6,34,,,,,,,12,1,11
Bank of Montreal,2011,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,10,3,7,,,,,,,2,1,1
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,394,128,266,8,2,6,15,6,9,152,60,92
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,92,19,73,3,1,2,1,,1,33,7,26
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,41,11,30,,,,1,,1,8,2,6
Bank of Montreal,2010,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,33,17,16,2,1,1,1,1,,11,6,5
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,4,2,2,,,,,,,2,1,1
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,193,93,100,2,,2,1,1,,115,58,57
Bank of Montreal,2011,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Full-Time,57,20,37,1,,1,,,,1,1,,53,19,34,1,,1,,,,1,1,
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,7,,7,,,,,,,,,
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,14,6,8,,,,1,1,,6,3,3
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2014,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,174,70,104,1,,1,7,2,5,62,34,28
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,11,1,10,,,,,,,2,,2
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,17,5,12,2,,2,1,,1,10,3,7
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,24,13,11,,,,,,,10,7,3
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,54,6,48,2,,2,1,,1,13,3,10
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,6,,6,,,,1,,1,1,,1
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,767,395,372,4,2,2,18,8,10,360,198,162
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Part-Time,3,3,,,,,,,,,,,2,2,,,,,,,,,,
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,3947,1737,2210,54,9,45,118,43,75,1598,778,820,3665,1602,2063,50,9,41,111,39,72,1482,716,766
Bank of Montreal,2017,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,9,2,7,1,,1,,,,5,2,3
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,22,11,11,1,,1,1,1,,14,9,5
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,23,3,20,1,,1,,,,1,,1
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,23,2,21,,,,,,,3,,3
Bank of Montreal,2010,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Part-Time,1,,1,1,,1,,,,1,,1,1,,1,1,,1,,,,1,,1
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,761,186,575,17,7,10,18,4,14,304,99,205
Bank of Montreal,2019,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Part-Time,5,2,3,,,,1,,1,1,1,,5,2,3,,,,1,,1,1,1,
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,382,108,274,5,1,4,16,8,8,150,46,104
Bank of Montreal,2017,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Full-Time,16,5,11,,,,,,,2,1,1,13,4,9,,,,,,,2,1,1
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,109,17,92,1,,1,4,,4,19,5,14
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,98,36,62,6,2,4,1,,1,28,12,16
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1562,690,872,22,8,14,35,18,17,581,279,302
Bank of Montreal,2014,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,3,2,1,1,,1,,,,,,
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,41,13,28,1,,1,,,,17,5,12
Bank of Montreal,2019,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,5,3,2,2,2,,1,1,,,,
Bank of Montreal,2019,Provincial,Manitoba,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,73,36,37,4,1,3,3,2,1,44,23,21
Bank of Montreal,2015,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,36,15,21,,,,,,,21,7,14
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,,,
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,8,1,7,1,,1,,,,3,1,2
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,96,58,38,,,,4,3,1,41,24,17
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,34,10,24,,,,,,,15,2,13
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Full-Time,55,19,36,1,,1,3,,3,13,7,6,49,15,34,1,,1,3,,3,13,7,6
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,37,8,29,,,,3,,3,15,6,9
Bank of Montreal,2018,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,8,,8,,,,,,,,,
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,782,217,565,10,,10,15,4,11,346,125,221
Bank of Montreal,2010,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2014,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Full-Time,22,9,13,,,,,,,,,,21,8,13,,,,,,,,,
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,27,11,16,1,,1,,,,6,2,4
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1300,591,709,16,5,11,43,9,34,439,229,210
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,251,131,120,,,,1,1,,74,42,32
Bank of Montreal,2012,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,18,3,15,1,,1,,,,,,
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,10,2,8,,,,2,,2,6,2,4
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Overall,Full-Time,290,126,164,14,2,12,9,7,2,143,67,76,279,122,157,13,2,11,9,7,2,137,64,73
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,24,2,22,1,,1,2,,2,7,1,6
Bank of Montreal,2017,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,4,,4,,,,,,,,,
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,13,6,7,,,,1,1,,1,,1
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,,,
Bank of Montreal,2016,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,33,17,16,1,1,,1,,1,16,12,4
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,2,,2
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,131,60,71,1,1,,6,3,3,56,24,32
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,4,1,3,,,,2,1,1,,,
Bank of Montreal,2012,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,13,4,9,1,,1,,,,5,1,4
Bank of Montreal,2016,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Full-Time,49,19,30,,,,2,,2,5,2,3,46,18,28,,,,2,,2,5,2,3
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Part-Time,21,6,15,,,,2,,2,6,1,5,20,5,15,,,,2,,2,6,1,5
